day_num,year,month,day,collision_date,temp,max_temp,min_temp,humidity,mean_sea_level_pressure,visibility,mean_wind_speed,maximum_sustained_wind_speed,maximum_wind_gust,total_precipitation,snow_depth_inches,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,num_collisions
3,2016,01,20,2016-01-20,30.7,37.0,16.0,13.1,1020.5,10.0,5.6,11.1,21.0,0.0,0.0,0,0,0,0,0,0,530
7,2016,01,31,2016-01-31,42.6,55.9,28.0,24.5,1013.7,10.0,5.6,11.1,22.0,0.0,5.9,0,0,0,0,0,0,447
1,2013,01,07,2013-01-07,40.9,45.0,37.0,23.8,1022.6,10.0,5.7,11.1,17.1,0.0,0.0,0,0,0,0,0,0,433
5,2018,01,12,2018-01-12,54.5,61.0,41.0,52.8,1015.6,5.9,5.7,8.9,19.0,0.0,3.1,1,1,0,0,0,0,652
5,2013,01,18,2013-01-18,30.2,39.9,25.0,12.2,1024.4,10.0,5.7,9.9,20.0,0.0,0.0,0,0,0,0,0,0,470
2,2013,01,15,2013-01-15,37.9,50.0,35.1,27.9,1025.5,9.7,5.7,11.1,14.0,0.09,0.0,0,1,0,0,0,0,446
6,2013,01,26,2013-01-26,19.9,26.1,15.1,9.2,1019.8,9.0,5.7,9.9,15.0,0.07,0.0,0,0,1,0,0,0,488
7,2016,01,17,2016-01-17,37.3,52.0,30.0,23.1,1009.2,8.6,5.8,9.9,15.9,0.03,0.0,1,0,1,0,0,0,364
7,2017,01,29,2017-01-29,38.4,43.0,35.1,18.6,1006.0,10.0,5.8,11.1,17.1,0.0,0.0,0,0,0,0,0,0,406
3,2014,01,29,2014-01-29,17.4,23.0,12.0,-2.4,1022.0,8.4,5.8,8.9,18.1,0.04,1.2,0,0,1,0,0,0,568
7,2015,01,25,2015-01-25,37.8,42.1,33.1,20.0,1004.0,9.9,5.8,9.9,22.9,0.06,3.1,0,0,0,0,0,0,346
1,2014,01,27,2014-01-27,34.8,44.1,25.0,17.4,1006.9,10.0,5.9,15.0,24.1,0.0,3.9,0,0,0,0,0,0,424
4,2013,01,10,2013-01-10,44.3,48.0,39.9,25.4,1028.5,9.9,5.9,11.1,19.0,0.0,0.0,0,0,0,0,0,0,472
6,2016,01,02,2016-01-02,35.8,42.1,32.0,17.7,1016.9,10.0,6.0,12.0,18.1,0.0,0.0,0,0,0,0,0,0,361
6,2016,01,30,2016-01-30,32.8,41.0,28.0,15.8,1014.6,10.0,6.0,11.1,22.0,0.0,5.9,0,0,0,0,0,0,492
3,2018,01,31,2018-01-31,24.9,36.0,18.0,6.8,1022.1,10.0,6.0,13.0,24.1,0.02,0.0,0,0,0,0,0,0,563
5,2013,01,25,2013-01-25,17.1,24.1,12.9,1.5,1027.5,9.3,6.1,11.1,22.0,0.0,0.0,0,0,1,0,0,0,587
2,2013,01,01,2013-01-01,37.8,39.9,33.1,23.6,1011.9,10.0,6.1,8.9,19.0,0.0,0.0,0,0,0,0,0,0,328
3,2017,01,04,2017-01-04,44.6,52.0,39.9,37.3,998.8,7.9,6.1,15.0,27.0,0.49,0.0,0,1,0,0,0,0,554
1,2015,01,19,2015-01-19,39.2,42.1,30.9,27.9,1008.4,9.4,6.2,11.1,22.9,2.1,0.0,0,1,0,0,0,0,406
3,2016,01,27,2016-01-27,43.9,48.0,37.9,24.7,1015.7,9.9,6.2,9.9,22.0,0.0,16.9,0,1,0,0,0,0,569
6,2014,01,25,2014-01-25,21.8,28.0,15.8,6.6,999.1,5.3,6.2,8.0,15.0,0.0,5.9,0,0,1,0,0,0,405
2,2016,01,05,2016-01-05,18.4,36.0,10.9,-2.3,1032.7,10.0,6.2,12.0,22.0,0.0,0.0,0,0,0,0,0,0,546
6,2017,01,07,2017-01-07,23.0,28.9,19.4,11.3,1024.1,5.7,6.2,9.9,18.1,0.01,1.2,1,0,1,0,0,0,847
3,2017,01,18,2017-01-18,39.2,41.0,37.4,37.7,1013.7,6.2,6.3,9.9,15.0,0.41,0.0,0,1,0,0,0,0,517
3,2014,01,08,2014-01-08,12.9,21.0,9.0,-5.1,1031.1,10.0,6.3,11.1,20.0,0.0,0.0,0,0,0,0,0,0,522
1,2014,01,06,2014-01-06,45.6,55.0,35.6,39.8,1002.6,3.6,6.3,11.1,22.9,0.23,3.9,1,1,0,0,0,0,436
7,2018,01,07,2018-01-07,9.7,18.0,5.0,-6.6,1032.6,10.0,6.3,12.0,19.0,0.0,5.9,0,0,0,0,0,0,446
4,2017,01,12,2017-01-12,55.6,66.0,42.1,48.4,1018.8,8.9,6.3,8.9,21.0,0.31,0.0,0,1,0,0,0,0,615
7,2016,01,24,2016-01-24,26.7,35.1,19.9,11.6,1012.1,7.4,6.3,17.1,26.0,1.82,5.9,1,0,1,0,0,0,448
3,2015,01,14,2015-01-14,22.8,36.0,16.0,9.5,1031.1,10.0,6.4,11.1,15.0,0.0,0.0,0,0,0,0,0,0,432
2,2018,01,09,2018-01-09,35.6,44.1,17.1,22.3,1019.6,9.5,6.4,9.9,18.1,0.01,5.1,0,0,0,0,0,0,648
3,2017,01,25,2017-01-25,40.5,48.0,35.1,30.4,1002.3,9.8,6.4,12.0,21.0,0.68,0.0,0,1,0,0,0,0,538
7,2016,01,03,2016-01-03,38.4,45.0,32.0,20.0,1011.7,10.0,6.4,9.9,21.0,0.0,0.0,0,0,0,0,0,0,365
3,2020,01,29,2020-01-29,36.5,41.0,32.0,17.4,1016.2,10.0,6.4,12.0,21.0,0.0,0.0,0,0,0,0,0,0,454
5,2017,01,13,2017-01-13,51.4,64.9,36.0,35.8,1025.7,10.0,6.4,11.1,22.0,0.05,0.0,0,0,0,0,0,0,574
2,2018,01,30,2018-01-30,33.1,46.9,28.9,25.6,1015.5,6.1,6.4,11.1,25.1,0.09,0.0,0,0,1,0,0,0,546
5,2016,01,01,2016-01-01,40.4,48.0,37.0,24.3,1017.1,10.0,6.5,12.0,22.9,0.03,0.0,0,0,0,0,0,0,346
2,2014,01,28,2014-01-28,17.8,26.1,12.9,-7.2,1023.8,10.0,6.5,12.0,22.0,0.0,3.1,0,0,0,0,0,0,435
6,2015,01,17,2015-01-17,22.2,43.0,17.1,1.8,1026.1,10.0,6.5,15.9,26.0,0.0,0.0,0,0,0,0,0,0,418
