"","day_num","max_temp_standardised","num_collisions"
"2635","6",1.33507605979853,668
"2636","7",0.720053820494705,519
"2637","3",1.1002493866098,643
"2638","4",1.04992938521221,646
"2639","3",0.938107159884243,599
"2641","1",1.04992938521221,617
"2642","7",0.831876045822673,454
"2643","6",0.988427161281829,579
"2644","1",1.4413071738601,673
"2646","7",0.720053820494705,498
"2647","5",1.38539606119612,701
"2648","4",1.38539606119612,587
"2649","2",1.04992938521221,601
"2651","4",1.16175161054018,572
"2652","5",1.55312939918807,729
"2655","5",1.22325383447056,753
"2656","3",1.38539606119612,594
"2657","6",0.720053820494705,540
"2658","7",1.1002493866098,490
"2659","6",1.38539606119612,568
"2660","6",1.72645384844642,614
"2661","3",1.16175161054018,645
"2662","6",1.04992938521221,573
"2663","7",1.16175161054018,538
"2664","3",1.60344940058565,685
"2666","4",1.49162717525769,736
"2667","4",1.22325383447056,600
"2668","4",1.4413071738601,672
"2669","2",0.720053820494705,491
"2671","4",0.938107159884243,625
"2672","1",1.16175161054018,504
"2673","6",0.988427161281829,572
"2675","5",1.04992938521221,726
"2680","6",1.16175161054018,480
"2683","6",1.1002493866098,495
"2684","5",1.33507605979853,589
"2685","2",1.33507605979853,684
"2686","6",1.22325383447056,578
"2688","3",0.938107159884243,508
"2689","7",0.988427161281829,471
"2690","5",0.938107159884243,636
"2692","2",1.38539606119612,666
"2696","3",0.770373821892291,550
"2697","1",0.720053820494705,584
"2698","6",1.04992938521221,540
"2699","5",0.485227147305973,522
"2701","6",0.597049372633941,514
"2702","4",1.38539606119612,618
"2703","1",1.04992938521221,521
"2705","3",0.938107159884243,572
"2707","2",1.22325383447056,507
"2708","3",1.33507605979853,629
"2709","6",0.770373821892291,454
"2712","3",0.720053820494705,671
"2714","6",0.938107159884243,527
"2716","1",1.16175161054018,669
"2717","3",0.485227147305973,622
"2720","1",0.831876045822673,569
"2721","5",0.770373821892291,617
"2722","1",1.16175161054018,593
"2724","7",1.1002493866098,505
"2725","3",1.22325383447056,658
"2727","2",1.16175161054018,587
"2728","2",0.831876045822673,602
"2729","7",1.4413071738601,518
"2730","7",0.658551596564323,482
"2731","1",0.658551596564323,494
"2735","6",1.22325383447056,507
"2737","2",0.597049372633941,614
"2738","1",0.658551596564323,673
"2740","7",0.988427161281829,597
"2744","6",0.770373821892291,596
"2747","4",0.658551596564323,718
"2753","5",0.597049372633941,684
"2755","3",1.49162717525769,768
"2756","3",0.658551596564323,783
"2757","2",0.720053820494705,680
"2758","1",1.04992938521221,431
"2759","7",1.04992938521221,512
"2761","7",1.22325383447056,504
"2762","7",0.882196047220259,528
"2765","3",0.938107159884243,755
"2766","1",1.04992938521221,566
"2767","7",0.546729371236355,515
"2768","7",1.4413071738601,587
"2769","4",1.33507605979853,744
"2770","1",0.938107159884243,620
"2771","5",1.22325383447056,812
"2772","4",1.22325383447056,727
"2773","3",0.378996033244403,571
"2775","3",1.27357383586815,748
"2781","2",0.720053820494705,605
"2783","4",1.33507605979853,675
"2784","2",0.328676031846817,613
"2785","5",0.378996033244403,715
"2789","7",0.658551596564323,462
"2790","3",1.4413071738601,654
"2791","4",0.485227147305973,620
"2793","6",1.22325383447056,655
"2794","4",1.55312939918807,665
"2795","4",0.597049372633941,650
"2796","4",0.378996033244403,659
"2799","7",0.434907145908387,458
"2801","2",0.770373821892291,740
"2802","7",0.378996033244403,510
"2804","1",0.597049372633941,735
"2806","3",0.988427161281829,738
"2807","3",0.434907145908387,539
"2808","4",1.33507605979853,717
"2810","5",0.882196047220259,827
"2813","2",1.49162717525769,786
"2814","5",0.770373821892291,631
"2816","2",0.938107159884243,619
"2817","1",0.546729371236355,605
"2819","3",0.831876045822673,651
"2820","4",0.988427161281829,728
"2821","2",0.988427161281829,579
"2823","4",1.16175161054018,660
"2825","2",1.27357383586815,656
"2826","5",0.485227147305973,780
"2828","1",0.658551596564323,452
"2833","1",1.4413071738601,726
"2834","6",0.378996033244403,604
"2835","5",0.831876045822673,609
"2837","7",0.938107159884243,604
"2838","1",0.759191599359494,586
"2839","2",0.485227147305973,544
"2840","6",0.938107159884243,623
"2841","6",1.04992938521221,577
"2843","4",0.770373821892291,572
"2844","1",1.38539606119612,533
"2845","6",0.882196047220259,554
"2846","7",0.434907145908387,506
"2848","5",0.988427161281829,703
"2849","6",0.720053820494705,529
"2852","7",0.938107159884243,586
"2853","1",0.720053820494705,427
"2854","3",1.1002493866098,608
"2855","3",0.434907145908387,658
"2856","5",1.33507605979853,760
"2857","3",0.770373821892291,604
"2858","1",0.328676031846817,610
"2859","1",0.938107159884243,680
"2863","2",1.4413071738601,626
"2864","1",1.38539606119612,392
"2865","6",0.658551596564323,646
"2867","7",1.16175161054018,515
"2868","5",0.328676031846817,740
"2869","7",1.16175161054018,480
"2870","2",0.938107159884243,551
"2874","5",1.16175161054018,680
"2875","7",0.328676031846817,572
"2876","5",0.770373821892291,757
"2877","6",0.988427161281829,600
"2878","2",0.988427161281829,779
"2879","2",0.988427161281829,557
"2883","2",0.328676031846817,592
"2884","7",0.328676031846817,528
"2886","2",0.938107159884243,652
"2888","3",0.882196047220259,519
"2889","4",0.720053820494705,536
"2892","6",0.831876045822673,585
"2893","7",0.485227147305973,475
"2894","7",0.434907145908387,476
"2896","4",0.938107159884243,619
