day_num,year,month,day,collision_date,temp,max_temp,min_temp,humidity,mean_sea_level_pressure,visibility,mean_wind_speed,maximum_sustained_wind_speed,maximum_wind_gust,total_precipitation,snow_depth_inches,num_collisions
5,2020,11,27,2020-11-27,56.7,64.9,51.1,44.5,1016.9,10.0,2.3,7.0,,0.08,0.0,279
3,2020,07,22,2020-07-22,81.5,91.9,72.0,71.3,1016.0,9.1,2.3,18.1,29.9,0.03,0.0,290
4,2020,07,09,2020-07-09,80.1,89.1,75.0,70.1,1015.2,9.6,2.3,6.0,,0.02,0.0,313
7,2020,08,09,2020-08-09,77.5,87.1,68.0,68.9,1019.4,9.6,2.3,8.0,,0.0,0.0,283
4,2020,09,17,2020-09-17,68.5,75.0,55.9,59.6,1017.3,10.0,2.3,7.0,,0.0,0.0,322
1,2020,10,19,2020-10-19,57.3,64.9,46.0,50.2,1027.3,10.0,2.3,7.0,,0.0,0.0,276
5,2020,10,09,2020-10-09,58.6,69.1,50.0,40.3,1021.2,10.0,2.3,6.0,,0.0,0.0,330
1,2020,09,28,2020-09-28,72.2,79.0,66.9,67.1,1012.6,8.5,2.4,6.0,,0.05,0.0,300
1,2020,10,05,2020-10-05,60.5,70.0,51.1,48.5,1019.9,10.0,2.4,5.1,,0.0,0.0,302
7,2020,09,27,2020-09-27,71.9,79.0,64.9,65.4,1015.7,9.3,2.4,5.1,,0.0,0.0,315
1,2020,06,22,2020-06-22,79.4,90.0,70.0,65.8,1013.9,10.0,2.4,5.1,,0.0,0.0,295
7,2020,05,17,2020-05-17,60.9,77.0,55.0,44.8,1024.1,10.0,2.4,8.0,,0.01,0.0,171
5,2020,12,11,2020-12-11,46.4,57.0,36.0,33.2,1021.8,9.3,2.4,7.0,15.9,0.0,0.0,348
7,2020,10,18,2020-10-18,53.3,62.1,44.1,40.8,1030.6,10.0,2.5,8.9,18.1,0.01,0.0,305
1,2020,08,24,2020-08-24,81.2,90.0,73.9,68.8,1015.6,10.0,2.5,6.0,,0.0,0.0,320
7,2020,12,20,2020-12-20,34.2,39.9,19.9,22.3,1022.7,8.9,2.5,8.9,15.0,0.0,7.1,194
3,2020,08,12,2020-08-12,80.2,88.0,71.6,74.0,1015.4,7.5,2.5,7.0,15.0,0.0,0.0,293
2,2020,02,04,2020-02-04,50.1,60.1,37.0,39.1,1009.3,9.8,2.5,7.0,,0.0,0.0,464
4,2020,07,02,2020-07-02,78.2,91.9,66.9,62.9,1009.9,10.0,2.5,8.0,,0.03,0.0,340
6,2020,07,25,2020-07-25,79.1,88.0,72.0,69.4,1018.3,9.2,2.5,7.0,,0.17,0.0,291
7,2020,09,13,2020-09-13,67.7,73.9,61.0,60.0,1021.3,10.0,2.5,7.0,15.9,0.0,0.0,245
2,2020,06,30,2020-06-30,71.8,87.1,64.9,63.4,1011.8,9.8,2.6,8.0,,0.58,0.0,278
7,2020,08,23,2020-08-23,79.0,88.0,73.0,68.7,1016.6,10.0,2.6,6.0,,0.0,0.0,316
7,2020,11,29,2020-11-29,47.0,55.9,41.0,26.1,1019.7,10.0,2.6,6.0,,0.0,0.0,248
2,2020,06,23,2020-06-23,79.2,90.0,72.0,66.2,1009.3,10.0,2.6,7.0,,0.0,0.0,291
4,2020,07,30,2020-07-30,83.9,91.9,77.0,64.1,1010.8,10.0,2.6,6.0,15.9,0.0,0.0,300
2,2020,10,27,2020-10-27,56.6,59.0,51.1,51.2,1020.5,6.7,2.6,7.0,14.0,0.02,0.0,262
2,2020,02,11,2020-02-11,44.9,48.0,42.1,42.9,1013.4,4.8,2.7,8.9,15.0,0.37,0.0,458
6,2020,06,27,2020-06-27,76.3,87.1,69.1,61.3,1009.6,9.3,2.7,7.0,,0.0,0.0,273
5,2020,08,28,2020-08-28,76.1,90.0,66.0,65.9,1008.9,9.5,2.7,8.9,19.0,0.36,0.0,306
6,2020,08,08,2020-08-08,73.5,82.9,66.0,68.4,1020.4,7.4,2.7,8.9,,0.27,0.0,260
1,2020,09,07,2020-09-07,72.4,82.0,66.0,60.7,1019.3,10.0,2.7,6.0,,0.0,0.0,295
6,2020,12,19,2020-12-19,26.2,32.0,19.9,14.0,1028.5,10.0,2.7,8.0,,0.0,7.9,251
6,2020,09,26,2020-09-26,69.1,77.0,62.1,61.3,1018.9,9.4,2.7,6.0,,0.0,0.0,330
2,2020,09,29,2020-09-29,70.5,77.0,66.9,66.1,1011.5,8.4,2.7,6.0,,0.02,0.0,317
2,2020,02,25,2020-02-25,49.2,62.1,41.0,39.9,1012.2,8.2,2.7,7.0,,0.0,0.0,527
2,2020,08,18,2020-08-18,71.3,82.0,63.0,62.0,1010.8,8.5,2.7,8.9,20.0,0.34,0.0,311
5,2020,01,31,2020-01-31,37.9,44.1,25.0,27.9,1026.3,10.0,2.7,5.1,,0.0,0.0,518
6,2020,01,04,2020-01-04,48.6,51.1,44.1,46.2,1005.7,4.9,2.8,6.0,,0.34,0.0,353
4,2020,09,03,2020-09-03,77.5,84.9,69.1,65.6,1008.9,9.1,2.8,6.0,,0.09,0.0,363
