"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","max_temp_standardised","num_collisions"
"175",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,-1.18092401008075,0.672764227642276
"176",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,-0.962870670691215,0.453252032520325
"177",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,-1.57789290999504,0.308943089430894
"178",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,-2.18732403803247,0.306910569105691
"179",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,-1.24242623401113,0.288617886178862
"180",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,-0.962870670691215,0.0813008130081301
"181",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,-1.29274623540872,0.0731707317073171
"182",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,-1.52757290859745,0.546747967479675
"183",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,-0.962870670691215,0.195121951219512
"184",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,-2.4221507112212,0.408536585365854
"185",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018,-2.29914626336043,0.286585365853659
"186",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,-2.0810929239709,0.227642276422764
"187",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,-0.571492882043326,0.361788617886179
"188",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2018,-1.63380402265902,0.571138211382114
"189",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,-2.18732403803247,0.611788617886179
"190",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,-1.46607068466707,0.504065040650406
"191",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,-1.18092401008075,0.404471544715447
"192",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,-1.29274623540872,0.180894308943089
"193",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2018,-1.18092401008075,0.50609756097561
"194",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,-1.24242623401113,0.300813008130081
"195",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,-1.13060400868317,0.103658536585366
"196",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,-1.13060400868317,0.205284552845528
"197",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,-0.409350655317773,0.0711382113821138
"198",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,-1.24242623401113,0.426829268292683
"199",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,-1.46607068466707,0.528455284552846
"200",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,-2.47247071261878,0.203252032520325
"201",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,-1.24242623401113,0.0752032520325203
"202",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,-0.851048445363247,0.394308943089431
"203",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,-1.05232845095359,0.408536585365854
"204",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,-1.96927069864293,0.345528455284553
"205",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,-1.79594624938458,0.808943089430894
"206",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,-1.29274623540872,0.0142276422764228
"207",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,-1.79594624938458,0.260162601626016
"208",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,-1.29274623540872,0.260162601626016
"209",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,-2.18732403803247,0.107723577235772
"210",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,-1.74562624798699,0.213414634146341
"211",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,-2.53397293654917,0.390243902439024
"212",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,-0.739226220035278,0.359756097560976
"213",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,-1.18092401008075,0.467479674796748
"214",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,-0.236026206059422,0.508130081300813
"215",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,-0.789546221432864,0.266260162601626
"216",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,0.216853806518849,0.0772357723577236
"217",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,-0.34784843138739,0.221544715447154
"218",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,-0.286346207457008,0.532520325203252
"219",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,-1.91895069724534,0.388211382113821
"220",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,-2.36064848729082,0.447154471544715
"221",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,-0.236026206059422,0.485772357723577
